,ciudad,codproyecto,direccion,latitud,longitud
560,Bogota,C90480,150 mts adelante peaje Siberia,4.7803866,-74.1850213
561,Bogota,C90481,Calle 1 # 10-04 Zipaquirá,4.589496,-74.08510249999999
562,Bogota,C90482,Cra. 6 # 5-19 Cajicá,4.5726505,-74.0912699
563,Bogota,C90483,K.m 1.5 vía Siberia,4.7439051,-74.1371001
564,Bogota,C90484,Calle 25C Cr 97,4.6834128,-74.12973699999999
565,Bogota,C90485,Calle 82 # 7 - 80,4.664024299999999,-74.0491524
566,Bogota,C90486,Cr. 19B # 82-36,4.6694718,-74.0592499
567,Bogota,C90487,Cra 16 # 93-08,4.6773529,-74.0524569
568,Bogota,C90488,Cra 4 # 1-10 Cajicá,4.915581599999999,-74.02561089999999
570,Bogota,C90490,Autop. Norte # 108A-49,4.6960464,-74.0553311
571,Bogota,C90491,Calle 106 # 19-43,4.692629,-74.0515212
572,Bogota,C90492,Autop. Medellín Km. 20 Lote el Refugio,6.2476376,-75.56581530000001
574,Bogota,C90494,Cra 13 # 35-37,4.623372199999999,-74.0680424
576,Bogota,C90496,Calle 19 # 5-20,4.6048521,-74.070515
581,Bogota,C90501,Cra 15 # 93-84,4.677649,-74.0512803
582,Bogota,C90502,Av. Américas # 62-84,4.6293124,-74.1183069
583,Bogota,C90503,Calle 93 # 19-66,4.6789045,-74.0554861
585,Bogota,C90505,Calle 140 # 10A-48,4.7189119,-74.03448759999999
586,Bogota,C90506,Cra. 54 # 105-46,4.694458,-74.063261
592,Bogota,C90512,Cra. 9 con Cl. 115,4.693252999999999,-74.03508099999999
593,Bogota,C90513,Cra. 12 # 98-54/64,4.6822783,-74.0457455
595,Bogota,C90515,Av. 127 # 19-74/56,4.7055283,-74.0494945
596,Bogota,C90516,Autop. Norte # 118-86,4.702151199999999,-74.0540228
